,Line,Producer,Socket
Intel Core i9-9900K,Intel Core i9,Intel,LGA 1151-v2
AMD Ryzen Threadripper 1950X,AMD Ryzen Threadripper,AMD,TR4
Intel Core i7-9800X,Intel Core i7,Intel,LGA 2066
AMD Ryzen Threadripper 2920X,AMD Ryzen Threadripper,AMD,TR4
Intel Xeon E5-1650 v4,Intel Xeon,Intel,LGA 2011-3
Intel Xeon E5-2630 v4,Intel Xeon,Intel,LGA 2011-3
Intel Xeon E5-2640 v4,Intel Xeon,Intel,LGA 2011-3
Intel Core i7-6900K,Intel Core i7,Intel,LGA 2011-3
Intel Core i9-9820X,Intel Core i9,Intel,LGA 2066
Intel Core i9-9900X,Intel Core i9,Intel,LGA 2066
Intel Xeon E5-2637 v4,Intel Xeon,Intel,LGA 2011-3
Intel Xeon E5-1660 v4,Intel Xeon,Intel,LGA 2011-3
Intel Core i9-9920X,Intel Core i9,Intel,LGA 2066
Intel Core i9-9920X,Intel Core i10,Intel,LGA 2066
Intel Core i9-9940X,Intel Core i11,Intel,LGA 2066
Intel Core i9-9940X,Intel Core i12,Intel,LGA 2066
Intel Core i9-9960X,Intel Core i13,Intel,LGA 2066
AMD Ryzen Threadripper 2990WX,AMD Ryzen Threadripper,AMD,TR4
Intel Core i9-9980XE,Intel Core i9,Intel,LGA 2066
Intel Xeon E5-2698 v3,Intel Xeon,Intel,LGA 2011-3
